trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
70,0,70,0,190.8855374000268,,190.83733820007183,10,190.8855374000268,190.8855374000268,0.03518850007094443,192.83001290005632,[0.041666666666666664],[-0.3074074074074074],[1],[0],[0],[1.9583116000285372],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
71,0,71,0,192.8834648000775,,192.83562150003854,10,192.8834648000775,192.8834648000775,0.03266040002927184,194.89721720002126,[0.06851851851851852],[-0.3074074074074074],[1],[0],[0],[2.0297122000483796],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
72,0,72,0,194.93319900007918,,194.90240980009548,5,194.93319900007918,194.93319900007918,0.020697100088000298,196.42915290000383,[-0.04814814814814815],[0.4212962962962963],[1],[0],[0],[1.5060211000964046],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
73,0,73,0,196.47844400000758,,196.43391870008782,10,196.47844400000758,196.47844400000758,0.03405919997021556,198.29468240006827,[-0.05740740740740741],[0.03333333333333333],[1],[0],[0],[1.8270153999328613],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
74,0,74,0,198.34379620000254,,198.30007370002568,10,198.34379620000254,198.34379620000254,0.03295200003776699,200.61141200002749,[0.4287037037037037],[-0.11574074074074074],[1],[0],[0],[2.279099600040354],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
75,0,75,0,200.64182660006918,,200.6151410000166,5,200.64182660006918,200.64182660006918,0.016092599951662123,202.7979342000326,[0.2814814814814815],[-0.25092592592592594],[1],[0],[0],[2.166688399971463],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
76,0,76,0,202.83325890009291,,202.8055346000474,5,202.83325890009291,202.83325890009291,0.01925960008520633,204.21185270010028,[0.487962962962963],[-0.19907407407407407],[1],[0],[0],[1.3878178999293596],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
77,0,77,0,204.2470205000136,,204.21622440009378,5,204.2470205000136,204.2470205000136,0.021175400004722178,206.4619696000591,[0.08981481481481482],[0.053703703703703705],[1],[0],[0],[2.2246987000107765],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
78,0,78,0,206.49688640004024,,206.46697609999683,5,206.49688640004024,206.49688640004024,0.021829099976457655,208.34507969999686,[0.032407407407407406],[-0.17685185185185184],[1],[0],[0],[1.856506200041622],[],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
79,0,79,0,208.39446179999504,,208.34951640001964,10,208.39446179999504,208.39446179999504,0.03267560002859682,210.67856090003625,[-0.46296296296296297],[-0.4722222222222222],[1],[0],[0],[2.2964160999981686],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
